chr,lg,cm,rb_chr,Eston,IG72815,LR-26-10,LR-26-105,LR-26-107,LR-26-108,LR-26-110,LR-26-111,LR-26-112,LR-26-113,LR-26-116,LR-26-117,LR-26-118,LR-26-119,LR-26-12,LR-26-121,LR-26-122,LR-26-123,LR-26-125,LR-26-127,LR-26-128,LR-26-129,LR-26-13,LR-26-132,LR-26-134,LR-26-135,LR-26-136,LR-26-137,LR-26-138,LR-26-139,LR-26-140,LR-26-142,LR-26-145,LR-26-149,LR-26-151,LR-26-156,LR-26-157,LR-26-16,LR-26-161,LR-26-162,LR-26-163,LR-26-164,LR-26-165,LR-26-169,LR-26-17,LR-26-170,LR-26-171,LR-26-172,LR-26-173,LR-26-175,LR-26-176,LR-26-178,LR-26-18,LR-26-180,LR-26-181,LR-26-182,LR-26-183,LR-26-184,LR-26-186,LR-26-187,LR-26-188,LR-26-19,LR-26-193,LR-26-194,LR-26-196,LR-26-198,LR-26-20,LR-26-200,LR-26-202,LR-26-203,LR-26-204,LR-26-205,LR-26-206,LR-26-209,LR-26-210,LR-26-215,LR-26-216,LR-26-219,LR-26-22,LR-26-220,LR-26-223,LR-26-224,LR-26-227,LR-26-228,LR-26-23,LR-26-232,LR-26-233,LR-26-235,LR-26-238,LR-26-239,LR-26-240,LR-26-241,LR-26-243,LR-26-244,LR-26-245,LR-26-246,LR-26-247,LR-26-251,LR-26-252,LR-26-253,LR-26-254,LR-26-256,LR-26-257,LR-26-259,LR-26-261,LR-26-262,LR-26-266,LR-26-267,LR-26-269,LR-26-273,LR-26-274,LR-26-275,LR-26-276,LR-26-280,LR-26-281,LR-26-282,LR-26-283,LR-26-288,LR-26-29,LR-26-290,LR-26-292,LR-26-293,LR-26-294,LR-26-296,LR-26-297,LR-26-298,LR-26-299,LR-26-3,LR-26-30,LR-26-300,LR-26-301,LR-26-303,LR-26-304,LR-26-306,LR-26-307,LR-26-311,LR-26-312,LR-26-32,LR-26-36,LR-26-4,LR-26-41,LR-26-43,LR-26-45,LR-26-47,LR-26-49,LR-26-5,LR-26-54,LR-26-55,LR-26-56,LR-26-57,LR-26-62,LR-26-63,LR-26-64,LR-26-65,LR-26-66,LR-26-67,LR-26-7,LR-26-70,LR-26-75,LR-26-77,LR-26-78,LR-26-79,LR-26-84,LR-26-85,LR-26-86,LR-26-87,LR-26-90,LR-26-91,LR-26-95,LR-26-98,LR-26-99
LcChr2_127_192772998_192773010_2,LG2,158.2264455,LcChr2,a,b,b,b,b,-,b,b,a,-,a,a,b,-,a,a,a,a,b,-,b,b,a,a,b,a,a,b,a,b,a,a,a,a,b,a,a,a,a,b,a,b,-,b,b,a,b,b,b,-,b,b,a,a,a,b,a,b,a,a,a,a,a,a,b,a,b,b,a,b,b,b,a,a,a,a,a,a,a,a,b,a,b,a,-,b,a,a,a,b,b,-,b,a,a,a,a,a,a,a,b,a,a,a,-,-,a,b,a,b,a,a,a,b,a,a,b,a,a,a,a,a,a,a,b,b,b,b,b,a,b,b,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,-,a,b,-,b,a,b,a,a,b,b,b,a,b,b,b,b,a,b
LcChr2_125_189195967_191682016_11,LG2,158.2264455,LcChr2,a,b,b,b,b,b,b,b,a,-,a,a,b,a,a,a,a,a,b,b,b,b,a,a,b,a,a,b,a,b,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,b,a,b,b,a,a,a,b,a,b,a,a,a,a,a,a,b,a,b,b,a,b,b,b,a,a,a,a,a,a,a,a,b,a,b,a,b,b,a,a,a,b,b,a,b,a,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b,a,a,a,b,a,a,b,a,a,a,a,a,a,a,b,b,b,b,b,a,b,b,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,b,a,a,b,b,b,a,a,b,b,b,a,b
LcChr2_131_195945321_196719821_8,LG2,160.1375772,LcChr2,a,b,b,b,b,b,b,b,a,b,a,a,b,-,a,a,a,a,b,b,b,b,a,a,b,a,a,b,a,b,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,b,a,b,b,a,a,a,b,a,b,a,a,a,a,a,a,b,a,b,b,a,b,b,b,a,a,a,a,a,a,a,a,b,a,b,a,b,b,a,b,a,b,b,a,b,a,a,a,a,a,a,b,b,a,a,a,-,b,a,b,a,b,a,a,a,b,a,a,b,a,a,a,a,a,a,a,a,b,b,b,b,a,b,b,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,b,a,a,b,b,b,a,b,b,b,b,a,b
LcChr2_133_199607502_204738031_10,LG2,160.1375772,LcChr2,a,b,b,b,b,b,b,b,a,b,a,a,b,-,a,a,a,a,b,b,b,b,a,a,b,a,a,b,a,b,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,b,a,b,b,a,a,a,b,a,b,a,a,a,a,a,a,b,a,b,b,a,b,b,b,a,a,a,a,a,a,a,a,b,a,b,a,b,b,a,b,a,b,b,a,b,a,a,a,a,a,a,b,b,a,a,a,a,b,a,b,a,b,a,a,a,b,a,a,b,a,a,a,a,a,a,a,a,b,b,b,b,a,b,b,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,b,a,a,b,b,b,a,b,b,b,b,a,b
LcChr2_scaffold3622_1_16274_16274_1,LG2,160.1375772,LcChr2,a,b,b,b,b,b,b,b,a,b,a,a,b,-,a,a,a,a,b,b,b,b,a,a,b,a,a,b,a,b,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,b,a,b,b,a,a,a,b,a,b,a,a,a,a,a,a,b,a,b,b,a,b,b,b,a,a,a,a,a,a,a,a,b,a,b,a,b,b,a,b,a,b,b,a,b,a,a,a,a,a,a,b,b,a,a,a,-,b,a,b,a,b,a,a,a,b,a,a,b,a,a,a,a,a,a,a,a,b,b,b,b,a,b,b,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,b,a,a,b,b,b,a,b,b,b,b,a,b
LcChr2_87_126257361_126257488_5,LG2,162.5344103,LcChr2,a,b,a,b,b,b,b,b,a,b,a,a,b,-,a,a,a,a,b,b,b,b,a,a,b,a,a,b,a,b,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,b,a,b,b,a,a,a,b,a,b,a,a,a,a,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,a,a,b,a,b,a,b,b,a,b,a,b,a,a,b,a,a,a,a,a,a,b,b,a,a,a,a,b,a,b,a,b,a,a,a,b,a,a,b,a,a,a,a,a,a,a,a,b,b,b,b,a,b,b,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,b,a,a,b,b,b,a,b,b,b,b,a,b
LcChr2_8_2360130_2364399_2,LG2,164.2429521,LcChr2,a,b,a,b,b,b,b,b,a,b,a,a,b,-,a,a,a,a,b,b,b,b,a,a,a,a,a,b,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,b,a,b,b,a,a,a,b,a,b,a,a,a,a,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,a,a,b,a,b,a,b,b,a,b,a,b,b,a,b,a,a,a,a,a,a,b,b,a,b,a,-,b,a,b,a,b,a,a,a,b,a,a,b,-,a,a,a,a,a,a,a,b,b,b,b,a,b,b,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,b,a,a,b,b,b,a,b,b,b,b,a,b
LcContig57663_2_138623_138623_1,LG2,166.504176,LcContig57663,a,b,a,b,-,b,-,-,a,-,a,a,-,-,a,a,a,a,-,-,-,-,a,a,a,a,a,-,a,-,a,a,a,a,-,a,a,a,a,-,a,-,a,b,b,a,b,b,b,a,b,b,a,a,-,b,a,b,a,a,a,a,a,a,-,a,-,b,a,a,b,b,a,a,a,a,a,a,a,a,-,a,-,a,b,b,a,-,a,b,-,a,-,a,-,a,a,a,a,-,b,a,a,a,-,b,a,b,a,-,a,a,a,-,a,a,b,a,a,a,a,a,a,-,a,b,b,-,-,a,-,-,a,a,a,a,a,a,-,b,a,a,b,-,b,a,a,a,a,a,a,a,b,a,-,b,b,a,b,a,a,b,b,-,a,-,b,b,b,a,b
LcChr2_77_103834365_103834365_1,LG2,166.504176,LcChr2,a,b,a,b,b,b,b,b,a,b,a,a,b,-,a,a,a,a,b,b,b,b,a,a,a,a,a,b,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,b,a,b,b,a,a,a,b,a,b,a,a,a,a,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,a,a,a,a,b,a,b,b,a,b,a,b,-,a,b,a,a,a,a,a,a,b,b,a,a,a,-,b,a,b,a,a,a,a,a,b,a,a,b,a,a,a,a,a,a,a,a,b,b,b,b,a,b,a,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,-,a,b,b,b,a,b,a,a,b,b,b,a,a,b,b,b,a,b
LcChr2_138_215939193_215939405_2,LG2,166.504176,LcChr2,a,b,a,b,b,b,b,b,a,b,a,a,b,a,a,a,a,a,b,b,b,b,a,a,a,a,a,b,a,a,a,a,a,a,b,a,-,-,a,b,a,b,-,-,b,a,b,b,b,-,b,b,a,a,a,b,a,b,a,a,a,a,a,a,b,a,b,b,a,a,b,b,-,a,a,a,a,a,a,a,a,a,b,a,b,b,a,b,a,-,b,-,b,a,a,-,-,a,a,b,b,a,-,a,-,b,-,b,a,a,a,a,a,b,a,a,b,a,a,a,a,a,a,a,a,b,b,b,b,a,b,a,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,-,a,a,b,a,b,b,b,a,b,a,a,b,b,b,a,a,b,b,b,a,b
LcChr2_88_126407089_126407187_3,LG2,166.504176,LcChr2,a,b,a,b,b,b,b,b,a,b,a,a,b,-,a,a,a,a,b,-,b,b,a,a,a,a,a,b,a,b,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,b,a,b,b,a,a,a,b,a,b,a,a,a,a,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,a,a,b,a,b,a,b,b,a,b,a,b,b,a,b,a,a,a,a,a,a,b,b,a,a,a,-,b,a,b,a,b,a,a,a,b,a,a,b,a,a,a,a,a,a,a,a,b,b,b,b,a,b,b,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,b,a,a,b,b,b,a,b,b,b,b,a,b
LcChr2_134_205831010_207571814_2,LG2,166.504176,LcChr2,a,b,a,b,b,b,b,b,a,b,a,a,b,-,a,a,a,a,b,b,b,b,a,a,a,a,a,b,a,b,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,b,a,b,b,a,a,a,b,a,b,a,a,a,a,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,a,a,b,a,b,a,b,b,a,b,a,b,b,a,b,a,a,a,a,a,a,b,b,a,a,a,-,b,a,b,a,b,a,a,a,b,a,a,b,-,a,a,a,a,a,a,a,b,b,b,b,a,b,b,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,b,a,a,b,b,b,a,b,b,b,b,a,b
LcChr2_136_207736998_207737054_3,LG2,166.504176,LcChr2,a,b,a,b,b,b,b,b,a,b,a,a,b,-,a,a,a,a,b,b,b,b,a,a,a,a,a,b,a,b,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,b,a,b,b,a,a,a,b,a,b,a,a,a,a,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,a,a,b,a,b,a,b,b,a,b,a,b,-,a,b,a,a,a,a,a,a,-,-,a,a,a,-,b,a,b,a,b,a,a,a,b,a,a,b,a,a,a,a,a,a,a,a,b,b,b,b,a,b,b,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,b,a,a,b,b,b,a,b,b,b,b,a,b
LcChr2_139_216493943_216493943_1,LG2,166.504176,LcChr2,a,b,a,b,b,b,b,b,a,b,a,a,b,-,a,a,a,a,b,b,b,b,a,a,a,a,a,b,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,b,a,b,b,a,a,a,b,a,b,a,a,a,a,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,a,a,b,a,b,a,b,b,a,b,a,b,b,a,b,a,a,a,a,a,a,b,b,a,a,a,-,b,a,b,a,b,a,a,a,b,a,a,b,-,a,a,a,a,a,a,a,b,b,b,b,a,b,b,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,b,a,a,b,b,b,a,b,b,b,b,a,b
LcChr2_137_214637365_214637541_2,LG2,169.0271943,LcChr2,a,b,a,b,b,b,b,b,a,b,a,a,b,a,a,a,a,a,b,b,b,b,a,a,a,a,a,b,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,b,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,a,a,a,a,b,a,b,b,a,b,a,b,b,a,b,a,a,a,a,a,a,-,b,a,a,a,a,b,a,b,a,a,a,a,a,b,a,a,b,a,a,a,a,a,a,a,a,b,b,b,b,a,b,a,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,b,a,a,b,b,b,a,a,b,b,b,a,b
LcChr2_84_124247035_124247099_2,LG2,169.9056892,LcChr2,a,b,a,b,b,b,b,a,a,b,a,a,b,-,a,a,a,-,b,b,b,b,a,a,a,a,a,b,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,b,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,b,a,b,b,a,a,b,b,-,a,a,a,a,a,a,a,a,a,b,a,b,b,a,b,a,b,b,a,b,a,a,a,a,a,a,b,b,a,a,a,-,b,a,b,a,a,a,a,a,b,a,a,b,a,a,a,a,a,a,a,a,b,b,b,b,a,b,a,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,b,a,a,b,b,b,a,a,b,b,b,a,b
LcChr2_101_148525446_148525531_3,LG2,169.9056892,LcChr2,a,b,a,b,b,b,b,a,a,b,a,a,b,-,a,a,a,a,b,b,b,b,a,a,a,a,a,b,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,b,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,a,a,a,a,b,a,b,b,a,b,a,b,b,a,b,a,a,a,a,a,a,b,b,a,a,a,-,b,a,b,a,a,a,a,a,b,a,a,b,a,a,a,a,a,a,a,a,b,b,b,b,a,b,a,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,b,a,a,b,b,b,a,a,b,b,b,a,b
LcChr2_142_223307454_223307454_1,LG2,172.2084495,LcChr2,a,b,a,b,b,b,b,a,a,b,a,a,b,-,a,a,a,a,a,b,b,b,a,a,a,a,a,b,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,b,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,a,a,a,a,b,a,b,b,a,b,a,b,b,-,b,a,a,a,a,a,a,b,b,a,a,a,-,b,a,b,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,b,b,b,b,a,b,a,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,b,a,a,b,b,b,a,a,b,a,b,a,b
LcChr2_141_223307435_223307435_1,LG2,172.786707,LcChr2,a,b,a,b,b,b,b,a,a,b,a,a,b,-,a,a,a,a,a,b,b,b,a,a,a,a,a,b,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,b,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,a,a,a,a,b,a,b,b,a,b,a,b,b,a,b,a,a,a,a,a,a,b,b,a,b,a,-,b,a,b,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,b,b,b,b,a,b,a,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,b,a,a,b,b,b,a,a,b,a,b,a,b
LcChr2_33_22684030_22684030_1,LG2,174.059604,LcChr2,a,b,a,b,b,b,b,a,a,b,a,a,b,-,a,a,a,a,a,b,b,b,a,a,a,a,a,b,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,a,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,a,a,a,a,b,a,b,b,a,b,a,b,b,a,b,a,a,a,a,a,a,b,b,a,a,a,-,b,a,b,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,b,b,b,b,a,b,a,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,-,a,a,b,b,b,a,a,b,a,b,a,b
LcChr2_158_260302164_260302485_5,LG2,175.4352993,LcChr2,a,b,a,b,b,b,b,a,a,b,a,a,b,-,a,a,a,a,a,b,b,b,a,a,a,a,a,b,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,a,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,b,a,b,b,a,a,b,a,a,a,a,a,a,a,a,a,a,a,b,a,b,b,a,b,a,b,b,a,b,a,a,a,a,a,a,b,b,a,a,a,-,b,a,b,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,b,b,b,b,a,b,a,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,-,a,a,b,b,b,a,a,b,a,b,a,b
LcChr2_163_269937986_269938838_2,LG2,175.4352993,LcChr2,a,b,a,b,b,b,b,a,a,b,a,a,b,-,a,a,a,a,a,b,b,b,a,a,a,a,a,b,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,a,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,b,a,b,b,a,a,b,a,a,a,a,a,a,a,a,a,a,a,b,a,b,b,a,b,a,b,b,a,b,a,a,a,a,a,a,b,b,a,a,a,-,b,a,b,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,b,b,b,b,a,b,a,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,-,a,a,b,b,b,a,a,b,a,b,a,b
LcChr2_104_156686945_156695309_2,LG2,176.2668779,LcChr2,a,b,a,b,b,b,b,a,a,b,a,a,b,-,a,a,a,a,a,b,b,b,a,a,a,a,a,b,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,a,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,b,a,b,b,a,a,b,a,a,a,a,a,a,a,a,a,a,a,b,a,b,b,a,b,a,b,b,a,b,a,a,a,a,a,a,b,b,a,b,a,-,b,a,b,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,b,b,b,b,a,b,a,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,-,a,a,b,b,b,a,a,b,a,b,a,b
LcChr2_153_253820633_253820633_1,LG2,179.4466878,LcChr2,a,b,a,b,b,b,b,a,a,b,a,a,b,-,a,a,a,a,a,b,b,b,a,a,a,a,a,b,a,-,a,a,a,a,b,a,a,-,-,b,a,b,-,b,b,a,b,-,a,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,a,a,b,b,-,a,b,-,-,a,a,a,a,a,a,a,a,a,b,a,-,b,a,b,a,b,-,a,b,a,a,-,-,a,a,b,b,a,-,a,-,-,-,b,-,a,a,a,a,b,a,a,a,a,a,a,a,a,-,a,a,b,b,b,b,a,b,a,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,-,b,a,b,b,b,a,-,a,a,b,a,a,a,a,b,-,b,a,b
LcChr2_130_195806235_195806345_2,LG2,180.3744029,LcChr2,a,b,a,b,b,b,b,a,a,b,a,a,b,-,a,a,a,a,a,b,b,b,a,a,a,a,a,b,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,a,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,a,a,b,b,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,a,b,a,b,b,a,b,a,a,a,a,a,a,b,b,a,a,a,-,b,a,b,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,b,b,b,b,a,b,a,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,-,a,a,b,a,a,a,a,b,a,b,a,b
LcChr2_143_225898718_226065606_10,LG2,180.3744029,LcChr2,a,b,a,b,b,b,b,a,a,b,a,a,b,-,a,a,a,a,a,b,b,b,a,a,a,a,a,b,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,a,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,a,a,b,b,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,a,b,a,b,b,a,b,a,a,a,a,a,a,b,b,a,a,a,-,b,a,b,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,b,b,b,b,a,b,a,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,-,a,a,b,a,a,a,a,b,a,b,a,b
LcChr2_149_244351096_244667492_3,LG2,180.3744029,LcChr2,a,b,a,b,b,b,b,a,a,b,a,a,b,-,a,a,a,a,a,b,b,b,a,a,a,a,a,b,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,a,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,a,a,b,b,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,a,b,a,b,b,a,b,a,a,a,a,a,a,b,b,a,a,a,-,b,a,b,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,b,b,b,b,a,b,a,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,-,a,a,b,a,a,a,a,b,a,b,a,b
LcChr2_154_253975533_253975533_1,LG2,180.3744029,LcChr2,a,b,a,b,b,b,b,a,a,b,a,a,b,-,a,a,a,a,a,b,b,b,a,a,a,a,a,b,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,a,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,a,a,b,b,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,a,b,a,b,b,a,b,a,a,a,a,a,a,b,b,a,a,a,-,b,a,b,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,b,b,b,b,a,b,a,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,-,a,a,b,a,a,a,a,b,a,b,a,b
LcChr2_205_314519344_314519527_2,LG2,180.3744029,LcChr2,a,b,a,b,b,b,b,a,a,b,a,a,b,-,a,a,a,a,a,b,b,b,a,a,a,a,a,b,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,a,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,a,a,b,b,a,a,b,a,-,a,a,a,a,a,a,a,a,a,a,a,b,b,a,b,a,b,b,a,b,a,a,a,a,a,a,b,b,a,a,a,-,b,a,b,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,b,b,b,b,a,b,a,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,-,a,a,b,a,a,a,a,b,a,b,a,b
LcChr2_147_240841933_240841933_1,LG2,181.2724491,LcChr2,a,b,a,b,b,b,b,a,a,b,a,a,b,-,a,a,a,a,a,-,b,b,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,a,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,a,a,b,b,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,a,b,a,b,b,a,b,a,a,a,a,a,a,b,b,a,a,a,-,b,-,b,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,b,b,b,b,a,b,a,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,-,a,a,b,a,a,a,a,b,a,b,a,b
LcChr2_148_241999256_243083653_5,LG2,186.2018278,LcChr2,a,b,a,b,b,b,b,a,a,-,a,a,b,-,a,a,a,a,a,a,b,b,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,a,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,a,a,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,a,a,a,b,b,a,b,a,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,b,b,a,b,a,b,a,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,a,b,b,b,a,-,a,a,b,a,a,a,a,b,a,b,a,b
LcChr2_82_115113847_115113847_1,LG2,187.3941358,LcChr2,a,b,a,b,b,b,b,a,a,-,a,a,b,-,a,a,a,a,a,a,b,b,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,a,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,a,a,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,a,a,a,b,b,a,b,a,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,b,b,a,b,a,b,a,a,a,a,a,a,a,b,b,a,a,b,a,b,a,a,a,a,a,a,a,b,a,b,b,b,a,-,a,a,b,a,a,a,a,b,a,b,a,b
LcContig842325_1_18524_18524_1,LG2,188.0579989,LcContig842325,a,b,a,b,b,b,b,a,-,-,a,a,-,-,a,a,-,a,a,a,b,b,a,-,a,a,a,a,a,a,a,a,a,a,b,a,-,a,a,-,a,b,-,b,b,a,b,b,a,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,a,a,b,b,a,a,a,-,-,a,a,a,a,a,a,a,a,a,a,a,b,b,a,a,a,-,b,a,b,a,a,a,-,a,a,a,b,a,a,a,a,b,a,b,a,a,a,a,a,b,a,a,a,a,a,a,a,a,-,a,a,b,b,a,b,a,b,a,a,a,a,a,a,a,b,b,a,a,a,a,b,a,-,a,a,a,a,a,-,a,b,-,b,a,-,a,a,b,a,a,a,a,b,a,b,-,b
LcChr2_65_74451949_74451949_1,LG2,188.0579989,LcChr2,a,b,a,b,b,b,b,a,a,-,a,a,b,-,a,a,a,a,a,a,b,b,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,a,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,a,a,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,a,a,a,b,b,a,b,a,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,b,b,a,b,a,b,a,a,a,a,a,a,a,b,b,a,a,a,a,b,a,a,a,a,a,a,a,b,a,b,b,b,a,-,a,a,b,a,a,a,a,b,a,b,a,b
